00000000000000000100000e;[5bbdb23484411f32e69b33da];000000000000000000000002;000000000000000000000001;hasInterest;
000000000000000001000007;[5bbdb23484411f32e69b33da];000000000000000000000008;000000000000000000000003;hasInterest;
000000000000000001000017;[5bbdb23484411f32e69b33da];000000000000000000000006;000000000000000000000003;hasInterest;
00000000000000000100000b;[5bbdb23484411f32e69b33da];000000000000000000000000;000000000000000000000001;hasInterest;
000000000000000001000004;[5bbdb23484411f32e69b33da];000000000000000000000009;000000000000000000000000;hasMember;
000000000000000001000003;[5bbdb23484411f32e69b33da];000000000000000000000005;000000000000000000000007;hasMember;
000000000000000001000002;[5bbdb23484411f32e69b33da];000000000000000000000005;000000000000000000000006;hasMember;
000000000000000001000001;[5bbdb23484411f32e69b33da];000000000000000000000009;000000000000000000000004;hasMember;
00000000000000000100000f;[5bbdb23484411f32e69b33da];000000000000000000000005;000000000000000000000006;hasModerator;
00000000000000000100000d;[5bbdb23484411f32e69b33da];000000000000000000000009;000000000000000000000000;hasModerator;
000000000000000001000010;[5bbdb23484411f32e69b33da];000000000000000000000005;00000000000000000000000a;hasTag;
000000000000000001000000;[5bbdb23484411f32e69b33da];000000000000000000000005;000000000000000000000003;hasTag;
000000000000000001000005;[5bbdb23484411f32e69b33da];000000000000000000000009;00000000000000000000000a;hasTag;
000000000000000001000013;[5bbdb23484411f32e69b33da];000000000000000000000009;000000000000000000000001;hasTag;
000000000000000001000011;[5bbdb23484411f32e69b33da];000000000000000000000008;000000000000000000000007;knows;2014
000000000000000001000012;[5bbdb23484411f32e69b33da];000000000000000000000002;000000000000000000000000;knows;2015
00000000000000000100000a;[5bbdb23484411f32e69b33da];000000000000000000000006;000000000000000000000007;knows;2014
000000000000000001000009;[5bbdb23484411f32e69b33da];000000000000000000000004;000000000000000000000000;knows;2014
000000000000000001000008;[5bbdb23484411f32e69b33da];000000000000000000000007;000000000000000000000006;knows;2014
000000000000000001000016;[5bbdb23484411f32e69b33da];000000000000000000000002;000000000000000000000004;knows;2015
000000000000000001000015;[5bbdb23484411f32e69b33da];000000000000000000000000;000000000000000000000004;knows;2014
000000000000000001000014;[5bbdb23484411f32e69b33da];000000000000000000000008;000000000000000000000006;knows;2013
000000000000000001000006;[5bbdb23484411f32e69b33da];000000000000000000000007;000000000000000000000004;knows;2013
00000000000000000100000c;[5bbdb23484411f32e69b33da];000000000000000000000004;000000000000000000000007;knows;2013
